Runtime,Genre,Manipulated_Title
1h 34min,"Drama, Documentary",the-social-dilemma
2h 0min,Drama,the-social-network
56min,Drama,the-society
1h 34min,"Action & Adventure, Comedy",the-spy-next-door
49min,"Crime, Documentary, Drama",the-staircase
2h 8min,"Comedy, Drama, Romance",the-terminal
1h 54min,"Crime, Documentary",the-tinder-swindler
1h 37min,"Fantasy, Drama, Romance",the-titan
1h 12min,Horror,the-vault
1h 16min,Drama,the-walk
46min,"Action & Adventure, Drama, Horror",the-walking-dead
2h 6min,"Action & Adventure, Drama",the-wandering-earth
34min,Reality TV,the-worlds-most-amazing-vacation-rentals
54min,Documentary,the-worlds-most-extraordinary-homes
1h 47min,"Fantasy, Action & Adventure, Comedy",thunder-force
40min,Reality TV,tidying-up-with-marie-kondo
1h 35min,Action & Adventure,time-trap
56min,Drama,tiny-pretty-things
2h 53min,"Action & Adventure, Drama, Romance",titanic
1h 40min,"Comedy, Romance, Drama",to-all-the-boys-ive-loved-before
1h 58min,"Fantasy, Action & Adventure",tomb-raider
42min,"Reality TV, Romance",too-hot-to-handle
1h 58min,"Action & Adventure, Crime",total-recall
1h 3min,"Comedy, Drama, Romance",touch-your-heart
1h 34min,"Drama, Crime, Action & Adventure",tracers
40min,"Drama, Comedy",triad-princess
2h 5min,"Crime, Drama, Action & Adventure",triple-frontier
1h 40min,"Comedy, Drama",triumph-in-the-skies
39min,"Crime, Comedy, Drama",true-story
49min,Documentary,turbo
1h 11min,"Drama, Romance",twenty-five-twenty-one
2h 10min,"Romance, Drama, Fantasy",twilight
1h 39min,"Action & Adventure, Comedy, Crime, Drama",twins-mission
59min,Reality TV,ultimate-beastmaster
48min,"Drama, Crime",unit-42
1h 53min,Action & Adventure,unknown
1h 2min,"Comedy, Action & Adventure, Music & Musical, Romance",up-in-the-air
42min,"Drama, Horror",v-wars
1h 3min,"Drama, Romance, Action & Adventure",vagabond
1h 53min,"Horror, Comedy",velvet-buzzsaw
1h 33min,Horror,venom
1h 21min,"Action & Adventure, Drama, Romance, Comedy, Crime",vincenzo
1h 38min,"Romance, Comedy",wanderlust
1h 57min,Action & Adventure,war-of-the-worlds
1h 48min,Action & Adventure,we-are-legends
1h 50min,"Comedy, Crime",were-the-millers
1h 57min,"Comedy, Romance, Fantasy",what-men-want
1h 14min,"Drama, History, Crime",when-they-see-us
1h 28min,"Drama, Horror, Crime",white-girl
26min,"Animation, Comedy",wild-kratts
2h 4min,"Drama, Action & Adventure",wolf-warrior-2
47min,"Crime, Drama, Romance",you
1h 29min,"Crime, Drama, Romance",you-get-me
1h 42min,"Drama, Sport",zero-to-hero
